name,player_id,k_percent_Breaking,k_percent_Fastball,k_percent_Offspeed,put_away_Breaking,put_away_Fastball,put_away_Offspeed,whiff_percent_Breaking,whiff_percent_Fastball,whiff_percent_Offspeed,woba_Breaking,woba_Fastball,woba_Offspeed
Jon Berti,542932,25.279560239646223,21.847583839361384,30.801721970885552,19.35947341715696,21.95587982265409,21.094624529579075,38.78180021995071,31.86161366877643,36.61474295300586,0.2857485227126679,0.3326814130071668,0.2492917362349745
Jonah Bride,681146,50.73995748894616,17.986833241866005,20.840475874093848,28.667469029435384,22.31935312265913,16.49508633192246,49.509158990350656,10.036849410448216,28.824523976328543,0.0734343810331597,0.3064244441639148,0.2845290500350137
Jonah Heim,641680,26.253812579042,21.426729522775908,27.56887337995229,18.503636368213463,17.277490976889503,20.560950623089337,30.43015723051299,23.75233864268905,27.28365316797588,0.3215002359865146,0.2716431802126147,0.2822208455398602
Jonathan Aranda,666018,40.03264328282592,24.34037725777829,22.27491664445873,25.17291595283407,16.62480112786843,17.88484363202665,27.735544711197456,23.550580722836763,25.576946159603917,0.4232792846917301,0.3858418724782858,0.3342802896921151
Jonathan India,663697,16.17778284838049,11.209434882040563,25.017445923045948,9.734378691662451,13.697983111225236,22.2210018823618,22.707708886520887,15.63487524218434,34.31470428652408,0.2071791531192855,0.2660656176218854,0.240011648143298
Jordan Beck,687597,24.967792400361542,28.36820558702828,21.448317185890943,16.607579637810417,25.036501585851894,18.74222178788102,34.25194198475611,21.42705339944601,32.867917701426066,0.3441268210721732,0.4434080329132467,0.2532526871264297
Jordan Walker,691023,36.33589302392602,26.523759448121016,12.028303341620331,23.2339272145939,24.81070975423124,9.7325253100243,45.55462811987736,24.959422926364358,21.989360596050847,0.1616589614782496,0.3398638011327397,0.3044351373129441
Jordan Westburg,676059,22.95353456341805,19.991052094399755,23.20035880685701,21.22249439145598,20.624623875606485,20.171443827960776,35.45869593818144,17.71026290952111,21.76514853222924,0.3476376784355025,0.2537411790637418,0.2840082607102679
Jorge Polanco,593871,34.28892777321128,5.650401832198104,9.788909127014842,26.260349481856878,7.678986706417752,9.003578199559112,30.564156810347026,5.652719651109343,39.25499294944564,0.301520239672962,0.2541527009253802,0.3939455254856517
Jorge Soler,624585,21.184945580045703,32.49128801872359,19.092633073678236,19.96100347544325,30.9135515629371,17.784156053356043,33.09693560571308,23.267221155012045,29.97461937362825,0.3889910363409752,0.364962908717008,0.2811545288284968
Jose Altuve,514888,10.808794966197294,16.98496510985692,20.93134203023453,15.333538450308314,17.385789045983564,18.594988684678903,18.47376000223417,15.01705052673829,26.434528121255813,0.3042652900845986,0.3048001220449421,0.3481381038889126
Jose Herrera,645444,17.207801006386642,8.68122070826228,18.57961634748201,13.567063465893067,6.79626834487401,13.837150448320235,26.457580989881965,9.0161546875613,21.916588171587662,0.2697120378866736,0.350287527370101,0.2624155603743726
Jose Iglesias,578428,21.074719141532068,8.028645097014515,20.925032932589566,17.324388723901105,5.504865303199316,16.383695465511238,32.32321143367184,13.070648754437054,24.4248627559697,0.2239141934853474,0.3063250645755813,0.309351103738985
Jose Trevino,624431,20.878605327162457,14.738430884834678,29.12689437342157,18.8671290588794,13.90344907964334,19.310644463082436,25.46028341140574,11.155445035449816,32.50983463512479,0.3129865050738208,0.3378475906808911,0.3089332544710139
Josh Bell,605137,17.638856601533178,19.489089646872436,48.478860738175534,14.185483210686284,19.0931285604525,26.096236570416718,32.854919404080256,26.68634258344463,44.99351790601934,0.288679561673438,0.2886804742582232,0.1296039657605016
Josh Jung,673962,15.319480581338649,16.932028294457872,20.090818188181945,17.994061656301767,27.20760673581444,18.9677140161446,25.609074650783704,17.22391467179566,27.884064609430325,0.270487791253561,0.3768199055421452,0.3008250158861568
Josh Naylor,647304,19.21013392435349,12.956815908992844,19.360917238124312,20.863343679442018,19.579403049571138,21.294772158403536,28.291813088868278,10.396847770855684,31.213191076590583,0.3196609398893506,0.4251463884784729,0.3366907638494636
Josh Smith,669701,27.37741884588701,15.11127565375059,18.75014125122648,21.4997826922344,18.43177637677128,16.237859225484684,26.00461099446005,14.807989571766823,26.38415844600754,0.3293240799254361,0.4099590585352788,0.2790789246203315
Joshua Palacios,641943,32.20891763757451,17.06742029699826,24.74455601042842,25.51415358676687,15.70466601980384,19.393106307553044,37.79663114771333,22.119725601039544,34.25476901882872,0.2808334039232638,0.3961041358837826,0.2877304527947912
Jose Caballero,676609,22.51433686355836,41.48032799826974,18.800470528737275,13.320284931965512,29.97292847154845,13.246344101041451,23.289015596242493,29.03343623112379,31.57920311036515,0.406138288198563,0.280417430740763,0.3272618640452943
Jose Ramirez,608070,2.4185440061900816,6.226031834890828,11.051230746236492,2.224554952142214,6.51086928312399,8.554682881035564,13.550338595895806,11.411132360831408,20.64736034257893,0.3475927257617505,0.5146557902618165,0.2386780084152371
Jose Tena,677588,38.42065017275389,21.281069156774404,27.400876862853316,27.212686386991187,15.299581479824734,17.809144368285178,39.124835280272144,18.67508102297769,35.19026370350058,0.2599831840693096,0.4476418516690272,0.3425821416336524
Juan Soto,665742,19.262869272849557,9.850040725578658,29.556411136496564,13.024638439152106,9.037535626650644,26.15557097336808,23.18034640588681,16.784082756503057,24.129218308553217,0.3106503426177524,0.464558734758661,0.335416194166083
Julio Rodriguez,677594,16.64168758639789,17.890356343738354,29.037486231384044,29.91126388947725,20.369301905665264,17.67627341688733,27.502659226423603,23.273280650874945,39.08428839109028,0.2567385591524412,0.4017301084965156,0.1729778726044637
Jung Hoo Lee,808982,10.847186396975273,7.764440196381251,9.92334241666014,6.990615903372169,7.61556144552909,9.712922972782025,14.858518263920953,9.70329175821746,19.79878641626744,0.365366185059103,0.3823751273099079,0.3556421563164413
Junior Caminero,691406,32.71746997555376,19.516632744805968,21.17060535536283,23.193258675724262,20.83939001880243,17.464473112147168,23.589689483662116,21.088939028669405,24.73931785145026,0.4171792708983741,0.3197503505625081,0.3151418761036019
Justin Turner,457759,26.306987473150254,31.10283102421824,29.457891388603063,15.819020122455637,13.1650935913108,22.766461917275866,26.29805919449308,15.235899785044635,38.47378759180886,0.3192407157816685,0.216272659613605,0.2414753989541414
Justyn-Henry Malloy,669234,44.56928514172439,22.516733242154835,17.066149855387142,25.60277270504237,29.8810395067592,14.163596762638395,37.12955377766527,17.246017149496275,25.83186036137892,0.252765425119463,0.3325374195518514,0.2862702491839632
Kameron Misner,670224,44.871163228589126,25.125189845013683,35.92457140078535,22.24379679376805,21.64413496305029,17.620388016860623,44.99176116932581,21.967008038211752,42.30354243317832,0.4242176567536043,0.3707136060157069,0.2015334496188667
Ke'Bryan Hayes,663647,22.00476526584117,16.402402981324467,27.67317112281336,21.824576931460754,18.867481697072595,22.111037956954966,38.11141587839391,11.956965944692342,27.47002125821237,0.3326873264110767,0.2348718512838702,0.2780601904123718
Keibert Ruiz,660688,25.353297795569883,4.354762897157115,15.979876498892573,26.577571706298883,7.1945378606653385,13.48543997303301,31.05883991116126,1.273927620109074,27.436262864798564,0.2320989612752294,0.3375699020150721,0.3593389540359972
Kerry Carpenter,681481,22.283911647260965,10.137574873785836,15.241621263109211,18.05769575849312,10.239809104293055,17.25116292348858,36.14691643115415,16.587093854442443,13.097953805350834,0.4232961902496607,0.4613081881321165,0.2755889327941739
