Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Garrett Crochet,676979,4S,SL,0.3471223,0.71724138,0.59585492,0.82371795,0.43895055,0.60159363,0.13420787,0.28052472,67.6685881157015,112.043687943262,0.29083665,0.08366534,63.0,Garrett Crochet,Exact
Emilio Pagán,641941,SF,SL,0.35384615,0.77124183,0.5942029,0.78813559,0.43965517,0.71590909,0.15229885,0.28735632,90.4744704997167,112.071098265896,0.29545455,0.06818182,23.0,Emilio Pagán,Exact
Ryne Nelson,669194,4S,CH,0.3015873,0.65151515,0.65789474,0.87596899,0.44,0.60714286,0.09312639,0.28159645,95.011038090595,110.513281064302,0.25,0.08928571,26.1,Ryne Nelson,Exact
Collin Snider,676092,SI,SL,0.39336493,0.74698795,0.6626506,0.87096774,0.4403183,0.67391304,0.11671088,0.25994695,76.8161907409522,103.113315649867,0.22826087,0.0326087,21.1,Collin Snider,Exact
Luis Severino,622663,SL,CH,0.30093458,0.70114943,0.77639752,0.89180328,0.44845361,0.63921569,0.07113402,0.23814433,87.0669895051463,106.691904761905,0.17647059,0.07843137,59.2,Luis Severino,Exact
Mitchell Parker,680730,SL,CH,0.32087912,0.74094708,0.69863014,0.87593985,0.44103194,0.58796296,0.09447853,0.22944785,91.2919933065345,92.5401246882793,0.14814815,0.11111111,50.0,Mitchell Parker,Exact
Ben Casparius,676508,CU,CH,0.37218045,0.69668246,0.53535354,0.86394558,0.44234801,0.61788618,0.13836478,0.2851153,49.4868236402612,116.772395672185,0.25203252,0.04065041,30.1,Ben Casparius,Exact
Kyle Leahy,681517,SL,CH,0.32843137,0.65432099,0.59701493,0.88679245,0.44262295,0.70833333,0.10655738,0.29234973,85.9807690843543,99.19469945,0.21875,0.07291667,26.2,Kyle Leahy,Exact
Davis Martin,663436,FC,SL,0.32244898,0.68717949,0.67088608,0.92164179,0.44318182,0.57383966,0.08295455,0.23295455,95.94879045,96.4763400067674,0.15189873,0.05485232,56.2,Davis Martin,Exact
Landon Knack,689017,SI,CH,0.29098361,0.7025641,0.70422535,0.84671533,0.44419134,0.65714286,0.09567198,0.23690205,126.070919633378,98.0146134351099,0.21904762,0.0952381,23.1,Landon Knack,Exact
Carmen Mlodzinski,669387,SI,SL,0.29736842,0.64379085,0.68141593,0.9035533,0.44606414,0.62222222,0.08005822,0.26055313,106.365934895214,100.278715328467,0.15555556,0.06666667,39.2,Carmen Mlodzinski,Exact
Bailey Falter,663559,CH,SL,0.26960784,0.64954683,0.72727273,0.8744186,0.44790257,0.54736842,0.07702703,0.25540541,111.559762911495,95.0146927374301,0.17894737,0.09473684,47.0,Bailey Falter,Exact
Connor Gillispie,687362,CU,SL,0.31558935,0.62980769,0.69879518,0.8778626,0.44161359,0.55284553,0.08686441,0.26483051,140.402350746619,91.56907631,0.18699187,0.08943089,26.0,Connor Gillispie,Exact
Lucas Giolito,608337,SL,CH,0.30054645,0.67948718,0.65454545,0.93396226,0.46017699,0.61111111,0.07647059,0.24705882,135.012874851426,89.0434523809524,0.18888889,0.06666667,20.1,Lucas Giolito,Exact
Kumar Rocker,677958,SL,SF,0.28865979,0.73493976,0.48214286,0.91803279,0.46111111,0.58947368,0.10803324,0.25207756,105.047619572282,94.542271468144,0.16842105,0.05263158,20.0,Kumar Rocker,Exact
Osvaldo Bido,674370,SL,CH,0.28835979,0.74229692,0.64220183,0.86415094,0.48571429,0.62626263,0.10176391,0.23473541,151.845380422397,94.82297111,0.14646465,0.09090909,43.1,Osvaldo Bido,Exact
Steven Okert,595345,SL,SL,0.28205128,0.73154362,0.43181818,0.76146789,0.48852459,0.56962025,0.16612378,0.31596091,49.4486041706015,111.549802631579,0.30379747,0.03797468,22.0,Steven Okert,Exact
Tyler Rogers,643511,SL,SL,0.31060606,0.74825175,0.6097561,0.86915888,0.52,0.72839506,0.10909091,0.30545455,79.2506310458965,126.214763636364,0.22222222,0.03703704,22.1,Tyler Rogers,Exact
Miles Mikolas,571945,SI,CU,0.27222222,0.6426513,0.7755102,0.89686099,0.49080622,0.68947368,0.06355932,0.25282486,91.0714815174369,88.7547592067988,0.14210526,0.07894737,45.1,Miles Mikolas,Exact
Steven Matz,571927,CH,CU,0.30932203,0.66511628,0.73972603,0.8951049,0.4767184,0.60176991,0.07538803,0.2594235,49.1543278179518,100.108556729418,0.20353982,0.02654867,28.1,Steven Matz,Exact
Kris Bubic,663460,CH,CU,0.35983264,0.67586207,0.59302326,0.78571429,0.47645126,0.62704918,0.1456736,0.31215772,65.7951596494986,95.8057080131723,0.25,0.07377049,61.1,Kris Bubic,Exact
Kyle Freeland,607536,SL,CH,0.37882353,0.71122995,0.57142857,0.91729323,0.46808511,0.67965368,0.11375,0.27375,75.13334985,95.5480940594059,0.17748918,0.04329004,50.2,Kyle Freeland,Exact
Carlos Estévez,608032,SL,4S,0.28651685,0.71069182,0.70588235,0.91150442,0.47181009,0.65591398,0.07418398,0.22255193,72.8963598020505,97.2979761904762,0.20430108,0.10752688,21.2,Carlos Estévez,Exact
Enyel De Los Santos,660853,SL,CH,0.32417582,0.6809816,0.55932203,0.82882883,0.47246377,0.59036145,0.13043478,0.29275362,86.3520080863909,94.2301492537314,0.26506024,0.08433735,20.0,Enyel De Los Santos,Exact
Brad Lord,695418,CU,SL,0.3,0.73605948,0.72222222,0.84848485,0.47275923,0.52666667,0.09666081,0.23374341,105.839665697768,85.497117581452,0.18666667,0.08666667,34.0,Brad Lord,Exact
Spencer Schwellenbach,680885,SF,SL,0.3551797,0.69882353,0.56547619,0.86531987,0.47327394,0.68548387,0.12583519,0.28173719,93.02546717,107.609587513935,0.19758065,0.0483871,61.1,Spencer Schwellenbach,Exact
